parent.pop,elevation.group,elev_m,Lat,Long,timeframe,Season,Year,Gowers_Dist,conf.low,conf.high
BH,low,511.4294422,37.40985,-119.96458,Recent,Water Year,2024,0.17292204629261723,0.14051252724964575,0.19388166264402784
CC,low,313,39.58597,-121.43311,Recent,Water Year,2024,0.23330988667048,0.20591196068141487,0.2657485378408612
TM2,low,379.1526973,39.59255,-121.55072,Recent,Water Year,2024,0.2702318480769502,0.23843570689209656,0.3079366271600126
DPR,mid,1018.591893,39.22846,-120.81518,Recent,Water Year,2024,0.44582315865973665,0.41985265738000643,0.47920989303043204
WV,mid,748.8570558,40.74084,-123.00364,Recent,Water Year,2024,0.456588671659773,0.4392692599288007,0.4855110300269232
WL1,mid,1613.837245,38.78608,-120.2143,Recent,Water Year,2024,0.48402784468066623,0.45831464647239584,0.5197371072929325
SQ3,high,2373.170732,36.72109,-118.84933,Recent,Water Year,2024,0.5564641365424081,0.5169821637724665,0.6032122972704075
WL2,high,2020.115818,38.8263,-120.25242,Recent,Water Year,2024,0.5940066338399368,0.5725443945791013,0.6270933822795421
YO11,high,2872.295032,37.93844,-119.23157,Recent,Water Year,2024,0.6849487448851614,0.6609370805719001,0.7276442349044088
LV1,high,2593.416641,40.47471,-121.50486,Recent,Water Year,2024,0.8160684259040925,0.79548403058978,0.8598462082735189
BH,low,511.4294422,37.40985,-119.96458,Historic,Water Year,2024,0.20413611910147297,0.18045495388118488,0.22799286651144757
CC,low,313,39.58597,-121.43311,Historic,Water Year,2024,0.24922336647826937,0.23160438958340768,0.2726443557272169
TM2,low,379.1526973,39.59255,-121.55072,Historic,Water Year,2024,0.289826948045514,0.27231335727962575,0.31473855903780806
DPR,mid,1018.591893,39.22846,-120.81518,Historic,Water Year,2024,0.4435084231894575,0.4246141161934689,0.47301362862707197
WL1,mid,1613.837245,38.78608,-120.2143,Historic,Water Year,2024,0.4741130750875127,0.45255993487510066,0.5053230074235595
WV,mid,748.8570558,40.74084,-123.00364,Historic,Water Year,2024,0.4757094445443853,0.453151080391298,0.5082199258966692
SQ3,high,2373.170732,36.72109,-118.84933,Historic,Water Year,2024,0.577761190714464,0.546301872462058,0.6180510522572803
WL2,high,2020.115818,38.8263,-120.25242,Historic,Water Year,2024,0.5807718998930457,0.5582273994373376,0.6107825497368479
YO11,high,2872.295032,37.93844,-119.23157,Historic,Water Year,2024,0.6516879289824131,0.6305801891087626,0.6814825092011236
LV1,high,2593.416641,40.47471,-121.50486,Historic,Water Year,2024,0.7949936868173977,0.7607195727796433,0.8410285837012478
