"pop","total_individuals","stage","proportion"
"BH",29,"prop_bud",0.689655172413793
"BH",29,"prop_flower",0.689655172413793
"BH",29,"prop_fruit",0.689655172413793
"CC",17,"prop_bud",0.823529411764706
"CC",17,"prop_flower",0.647058823529412
"CC",17,"prop_fruit",0.588235294117647
"IH",34,"prop_bud",0.588235294117647
"IH",34,"prop_flower",0.529411764705882
"IH",34,"prop_fruit",0.441176470588235
"LV1",1,"prop_bud",0
"LV1",1,"prop_flower",0
"LV1",1,"prop_fruit",0
"SC",22,"prop_bud",0.636363636363636
"SC",22,"prop_flower",0.590909090909091
"SC",22,"prop_fruit",0.590909090909091
"SQ1",1,"prop_bud",1
"SQ1",1,"prop_flower",1
"SQ1",1,"prop_fruit",1
"TM2",30,"prop_bud",0.133333333333333
"TM2",30,"prop_flower",0.133333333333333
"TM2",30,"prop_fruit",0.133333333333333
"WL2",6,"prop_bud",0.833333333333333
"WL2",6,"prop_flower",0.833333333333333
"WL2",6,"prop_fruit",0.833333333333333
"WR",1,"prop_bud",1
"WR",1,"prop_flower",1
"WR",1,"prop_fruit",1
"YO7",18,"prop_bud",0.888888888888889
"YO7",18,"prop_flower",0.888888888888889
"YO7",18,"prop_fruit",0.888888888888889
